GEOID,TRACTCE,NAMELSAD,neighborhood,confidence,notes
25009205100,205100,Census Tract 2051,Wyoma,medium,"North of Wyoma Square, Broadway corridor toward Lynnfield line"
25009205200,205200,Census Tract 2052,Wyoma,low,"Flax Pond / Sluice Pond area west of Wyoma Square; locally also called Flax Pond"
25009205300,205300,Census Tract 2053,Lynnhurst,medium,"Walnut Street corridor, far northwest residential"
25009205400,205400,Census Tract 2054,Lynn Woods area,medium,"Mostly Lynn Woods Reservation; sparse residential edge"
25009205500,205500,Census Tract 2055,West Lynn,low,"Boston Street north corridor; borders Pine Hill and the Highlands"
25009205600,205600,Census Tract 2056,West Lynn,high,"Far west, Saugus line"
25009205700,205700,Census Tract 2057,West Lynn,high,"Western Ave west; core LEHS catchment"
25009205800,205800,Census Tract 2058,Brickyard,medium,"Western Ave south near GE River Works; often grouped with West Lynn"
25009205900,205900,Census Tract 2059,Pine Hill,medium,"Near Pine Grove Cemetery"
25009206000,206000,Census Tract 2060,West Lynn,high,"Central West Lynn"
25009206100,206100,Census Tract 2061,Lynn Common,medium,"Blocks around Lynn Common"
25009206200,206200,Census Tract 2062,The Highlands,medium,"Hillside north of downtown"
25009206300,206300,Census Tract 2063,The Highlands,low,"North Highlands toward Wyoma; boundary blurry"
25009206400,206400,Census Tract 2064,Wyoma,high,"Wyoma Square"
25009206500,206500,Census Tract 2065,East Lynn,high,"East Lynn core"
25009206600,206600,Census Tract 2066,East Lynn,medium,"Goldfish Pond area near Swampscott line"
25009206700,206700,Census Tract 2067,Diamond District,medium,"Ocean Street side of the historic district"
25009206800,206800,Census Tract 2068,The Highlands,medium,"High Rock Tower area"
25009206900,206900,Census Tract 2069,Diamond District,low,"Lewis/Broad Street; borders Central Square downtown"
25009207000,207000,Census Tract 2070,Sagamore Hill,medium,"South of the Common toward the Lynnway"
25009207100,207100,Census Tract 2071,Brickyard,high,"Summer Street area; classic Brickyard"
25009207200,207200,Census Tract 2072,Brickyard,low,"Lynnway / waterfront south edge"
