Year,Org Code,Org Name,Grade,Group,Former EL year,ELA Tested #,ELA  E+M #,ELA  E+M %,ELA  Participation Rate,Math Tested #,Math  E+M #,Math  E+M %,Math Participation Rate,STE Tested #,STE  E+M #,STE  E+M %,STE  Participation Rate
2025,01630000,Lynn,g3-8,FormerEL,1,898,219,0.24387527839643652,0.9966703662597114,898,197,0.21937639198218262,0.9977777777777778,301,95,0.31561461794019935,0.9901315789473685
2025,01630000,Lynn,g3-8,FormerEL,2,309,79,0.255663430420712,1,309,61,0.19741100323624594,1,122,26,0.21311475409836064,1
2025,01630000,Lynn,g3-8,FormerEL,3,90,34,0.37777777777777777,0.989010989010989,90,23,0.25555555555555554,0.989010989010989,51,15,0.29411764705882354,1
2025,01630000,Lynn,g3-8,FormerEL,4,7,,,,7,,,,3,,,
2025,01630000,Lynn,g3-8,FormerEL,All,1304,335,0.25690184049079756,0.9969418960244648,1304,283,0.2170245398773006,0.9977046671767407,477,137,0.28721174004192873,0.99375
2025,01630000,Lynn,g3-8,FormerEL_IEP,1,104,14,0.1346153846153846,0.9904761904761905,104,5,0.04807692307692308,0.9904761904761905,35,9,0.2571428571428571,0.9459459459459459
2025,01630000,Lynn,g3-8,FormerEL_IEP,2,17,0,0,1,17,0,0,1,12,1,0.08333333333333333,1
2025,01630000,Lynn,g3-8,FormerEL_IEP,3,2,,,,2,,,,1,,,
2025,01630000,Lynn,g3-8,FormerEL_IEP,All,123,14,0.11382113821138211,0.9919354838709677,123,5,0.04065040650406504,0.9919354838709677,48,10,0.20833333333333334,0.96
2025,01630000,Lynn,10,FormerEL,1,44,12,0.2727272727272727,0.9777777777777777,44,6,0.13636363636363635,0.9777777777777777,41,7,0.17073170731707318,1
2025,01630000,Lynn,10,FormerEL,2,23,9,0.391304347826087,1,23,3,0.13043478260869565,1,18,4,0.2222222222222222,1
2025,01630000,Lynn,10,FormerEL,3,2,,,,2,,,,2,,,
2025,01630000,Lynn,10,FormerEL,All,69,21,0.30434782608695654,0.9857142857142858,69,9,0.13043478260869565,0.9857142857142858,61,11,0.18032786885245902,1
2025,01630000,Lynn,10,FormerEL_IEP,1,10,2,0.2,1,10,0,0,1,9,,,
2025,01630000,Lynn,10,FormerEL_IEP,2,2,,,,2,,,,1,,,
2025,01630000,Lynn,10,FormerEL_IEP,All,12,2,0.16666666666666666,1,12,0,0,1,10,0,0,1
